timestamp, utilization.gpu [%], memory.used [MiB]
2024/12/17 16:03:15.566, 0 %, 5771 MiB
2024/12/17 16:03:16.567, 100 %, 5771 MiB
2024/12/17 16:03:17.567, 0 %, 5771 MiB
2024/12/17 16:03:18.567, 100 %, 5771 MiB
2024/12/17 16:03:19.568, 0 %, 5771 MiB
2024/12/17 16:03:20.568, 100 %, 5771 MiB
2024/12/17 16:03:21.568, 0 %, 5771 MiB
2024/12/17 16:03:22.569, 100 %, 5771 MiB
2024/12/17 16:03:23.569, 0 %, 5771 MiB
2024/12/17 16:03:24.569, 100 %, 5771 MiB
2024/12/17 16:03:25.570, 0 %, 5771 MiB
2024/12/17 16:03:26.570, 100 %, 5771 MiB
2024/12/17 16:03:27.570, 0 %, 5771 MiB
2024/12/17 16:03:28.570, 100 %, 5771 MiB
2024/12/17 16:03:29.571, 0 %, 5771 MiB
2024/12/17 16:03:30.571, 100 %, 5771 MiB
2024/12/17 16:03:31.571, 0 %, 5771 MiB
2024/12/17 16:03:32.572, 100 %, 5771 MiB
2024/12/17 16:03:33.572, 0 %, 5771 MiB
2024/12/17 16:03:34.572, 100 %, 5771 MiB
2024/12/17 16:03:35.573, 0 %, 5771 MiB
2024/12/17 16:03:36.573, 100 %, 5771 MiB
2024/12/17 16:03:37.573, 0 %, 5771 MiB
2024/12/17 16:03:38.574, 100 %, 5771 MiB
2024/12/17 16:03:39.574, 0 %, 5771 MiB
2024/12/17 16:03:40.574, 100 %, 5771 MiB
2024/12/17 16:03:41.574, 0 %, 5771 MiB
2024/12/17 16:03:42.575, 100 %, 5771 MiB
2024/12/17 16:03:43.575, 0 %, 5771 MiB
2024/12/17 16:03:44.575, 100 %, 5771 MiB
2024/12/17 16:03:45.576, 0 %, 5771 MiB
2024/12/17 16:03:46.576, 100 %, 5771 MiB
2024/12/17 16:03:47.576, 0 %, 5771 MiB
2024/12/17 16:03:48.577, 100 %, 5771 MiB
2024/12/17 16:03:49.577, 0 %, 5771 MiB
2024/12/17 16:03:50.577, 99 %, 5771 MiB
2024/12/17 16:03:51.578, 0 %, 5771 MiB
2024/12/17 16:03:52.578, 98 %, 5771 MiB
2024/12/17 16:03:53.578, 0 %, 5771 MiB
2024/12/17 16:03:54.579, 86 %, 5771 MiB
2024/12/17 16:03:55.579, 0 %, 5771 MiB
2024/12/17 16:03:56.579, 81 %, 5771 MiB
2024/12/17 16:03:57.580, 0 %, 5771 MiB
2024/12/17 16:03:58.580, 69 %, 5771 MiB
2024/12/17 16:03:59.580, 0 %, 5771 MiB
2024/12/17 16:04:00.581, 54 %, 5771 MiB
2024/12/17 16:04:01.581, 0 %, 5771 MiB
2024/12/17 16:04:02.581, 45 %, 5771 MiB
2024/12/17 16:04:03.582, 0 %, 5771 MiB
2024/12/17 16:04:04.582, 28 %, 5771 MiB
2024/12/17 16:04:05.582, 0 %, 5771 MiB
2024/12/17 16:04:06.583, 21 %, 5771 MiB
2024/12/17 16:04:07.583, 0 %, 5771 MiB
2024/12/17 16:04:08.583, 11 %, 5771 MiB
2024/12/17 16:04:09.584, 100 %, 5771 MiB
2024/12/17 16:04:10.584, 0 %, 5771 MiB
2024/12/17 16:04:11.584, 100 %, 5771 MiB
